25.000	 0.050	 1.091
25.000	 0.150	 4.113
25.000	 0.250	 5.516
25.000	 0.350	 6.406
25.000	 0.450	 7.131
25.000	 0.550	 7.854
25.000	 0.650	 8.742
25.000	 0.750	10.152
25.000	 0.850	13.617
25.000	 0.050	 1.054
25.000	 0.150	 3.803
25.000	 0.250	 5.052
25.000	 0.350	 5.838
25.000	 0.450	 6.475
25.000	 0.550	 7.110
25.000	 0.650	 7.885
25.000	 0.750	 9.113
25.000	 0.850	12.106
50.000	 0.050	 3.135
50.000	 0.150	11.819
50.000	 0.250	15.852
50.000	 0.350	18.409
50.000	 0.450	20.490
50.000	 0.550	22.569
50.000	 0.650	25.120
50.000	 0.750	29.174
50.000	 0.850	39.129
50.000	 0.050	 3.027
50.000	 0.150	10.928
50.000	 0.250	14.516
50.000	 0.350	16.776
50.000	 0.450	18.607
50.000	 0.550	20.430
50.000	 0.650	22.659
50.000	 0.750	26.187
50.000	 0.850	34.787
75.000	 0.050	 7.741
75.000	 0.150	29.184
75.000	 0.250	39.143
75.000	 0.350	45.460
75.000	 0.450	50.598
75.000	 0.550	55.731
75.000	 0.650	62.031
75.000	 0.750	72.041
75.000	 0.850	96.624
75.000	 0.050	 7.476
75.000	 0.150	26.984
75.000	 0.250	35.846
75.000	 0.350	41.426
75.000	 0.450	45.948
75.000	 0.550	50.448
75.000	 0.650	55.954
75.000	 0.750	64.666
75.000	 0.850	85.901
100.000	 0.050	16.935
100.000	 0.150	63.846
100.000	 0.250	85.633
100.000	 0.350	99.451
100.000	 0.450	110.693
100.000	 0.550	121.921
100.000	 0.650	135.703
100.000	 0.750	157.601
100.000	 0.850	211.381
100.000	 0.050	16.355
100.000	 0.150	59.033
100.000	 0.250	78.419
100.000	 0.350	90.627
100.000	 0.450	100.519
100.000	 0.550	110.365
100.000	 0.650	122.410
100.000	 0.750	141.467
100.000	 0.850	187.924
125.000	 0.050	33.579
125.000	 0.150	126.595
125.000	 0.250	169.795
125.000	 0.350	197.194
125.000	 0.450	219.485
125.000	 0.550	241.749
125.000	 0.650	269.077
125.000	 0.750	312.496
125.000	 0.850	419.133
125.000	 0.050	32.428
125.000	 0.150	117.053
125.000	 0.250	155.492
125.000	 0.350	179.699
125.000	 0.450	199.312
125.000	 0.550	218.835
125.000	 0.650	242.719
125.000	 0.750	280.505
125.000	 0.850	372.621
150.000	 0.050	61.408
150.000	 0.150	231.514
150.000	 0.250	310.516
150.000	 0.350	360.622
150.000	 0.450	401.388
150.000	 0.550	442.103
150.000	 0.650	492.080
150.000	 0.750	571.483
150.000	 0.850	766.498
150.000	 0.050	59.304
150.000	 0.150	214.062
150.000	 0.250	284.358
150.000	 0.350	328.628
150.000	 0.450	364.495
150.000	 0.550	400.198
150.000	 0.650	443.876
150.000	 0.750	512.979
150.000	 0.850	681.438
175.000	 0.050	104.987
175.000	 0.150	395.810
175.000	 0.250	530.877
175.000	 0.350	616.541
175.000	 0.450	686.237
175.000	 0.550	755.845
175.000	 0.650	841.289
175.000	 0.750	977.042
175.000	 0.850	1310.450
175.000	 0.050	101.390
175.000	 0.150	365.973
175.000	 0.250	486.156
175.000	 0.350	561.841
175.000	 0.450	623.162
175.000	 0.550	684.202
175.000	 0.650	758.877
175.000	 0.750	877.020
175.000	 0.850	1165.027
200.000	 0.050	169.602
200.000	 0.150	639.416
200.000	 0.250	857.612
200.000	 0.350	995.999
200.000	 0.450	1108.590
200.000	 0.550	1221.040
200.000	 0.650	1359.071
200.000	 0.750	1578.375
200.000	 0.850	2116.983
200.000	 0.050	163.792
200.000	 0.150	591.216
200.000	 0.250	785.367
200.000	 0.350	907.634
200.000	 0.450	1006.695
200.000	 0.550	1105.303
200.000	 0.650	1225.938
200.000	 0.750	1416.793
200.000	 0.850	1882.058
